Tienda,nombre tienda,Distrito,Estado,Enero 2025,Febrero 2025,Marzo 2025,Abril 2025,Mayo 2025,Junio 2025,Julio 2025,Agosto 2025,Septiembre 2025,Octubre 2025
7101,Lopez Mateos,D-07,JAL,10253,10733,12573,12958,11821,13551,12680,15338,12657,7517
7102,Santa Fe,D-01,DF,8814,6740,8290,6361,9464,9056,8215,8913,7663,6282
7103,Universidad,D-04,DF,6716,6238,8476,7822,8517,7372,7438,6937,6021,4337
7104,Vasconcelos,D-09,NL,5986,5609,5966,5128,6955,6341,6454,5275,5253,2726
7105,Miramontes,D-04,DF,4804,4403,4829,5352,5745,5500,4638,5659,4748,2914
7106,Americas,D-07,JAL,6031,5997,6244,8151,7608,8819,10356,8710,8414,4801
7107,Condesa (Exp),D-02,DF,,1,,,,1,,,,
7108,Oasis Coyoacan,D-04,DF,6671,5370,7517,5898,6738,6689,6838,6179,5801,3532
7109,Pedregal (Exp),D-02,DF,1,,,,,1,,,,
7110,P.S. Jeronimo (Exp),D-02,DF,3,2,,0,0,,,,,
7111,Interlomas,D-03,MEX,2665.375,3615.45,3947,3455,5781,4797,4429,3740,4652,2860
7112,San Pedro,D-09,NL,5058,2936,3696,4279,4516,4999,4729,5055,4945,3021
7113,Acueducto,D-07,JAL,7391,6723,9705,10013,9171,1778,1453,1527,1197,767
7114,Serena,D-08,NL,3810,3525,6582,4380,3772,4401.55,3280,4695,3232,1986
7115,Leon,D-06,GTO,10976,8416,8788,9219,7897,7017,6293,8152,5787,4190
7116,Juriquilla,D-05,QRO,8977,8869,9909,11525,10142,10756,8498,2294,1736,1064
7117,Lomas Verdes,D-03,MEX,4307,4130,4883,4754,4217,5045,4321,1884,2841,2128
7118,Puebla,D-12,PUE,5731,5442,6028,4108,5375,4649,4965,5272,1291,984
7119,La Rioja,D-07,JAL,7161,5562,6068,7830,8979,7652,7390,7072,5419,4297
7120,Miyana,D-03,DF,11304,8877,11222,11232,10442,7663,9375,8987,8209,5661
7121,Esmeralda,D-03,MEX,4580,3632,6002,4509,5245,4895,4533,5163,5196,3543
7122,Sania (Exp),D-07,JAL,,,3,,0.415,2,,,,
7123,Satelite,D-03,MEX,2293,2578,3073,3292,2834,2667,2772,3470,2137,1417
7124,Angelopolis,D-12,PUE,4371,4528,5228,6177,5678,5202,6143,5340,6324,4013
7125,Saltillo,D-09,COA,6031,5545,6953,7923,9719,7482,8694,8395,7080,4337
7126,Arenal,D-04,DF,1892,1191,1384,1672,1773,1785,1877,1533,1578,705
7127,Mundo E,D-03,MEX,3726,3306,3169,3858.1,4430.6,3575,3429.9,3434,3639,1698
7128,Fortuna,D-01,DF,3027,4008,3523,3855,3722,3321,3595,3143.06,2780,1800
7129,Mixcoac,D-04,DF,4924,4720,5224,5059,6396,6585,5764,4613,3210,2650
7130,Condesa II (Exp),D-02,DF,1,4,,,,,,1,,
7131,Cumbres,D-08,NL,4956,6172,6107,5872,6151,6535,7119,5993,5870,3704
7132,Merida,D-13,YUC,6948,6013,6334,5225,7300,5439,7184,6504,5456,3738
7133,San Luis Potosi,D-06,SLP,8657,7222,8117,4569,7529,7356,6011,7525,7538,4456
7134,V. Hermosa (Exp),D-03,DF,1,,2,,0,1,,,,
7135,SM Allende I (Exp),D-05,GTO,134,93,68,92,59,82,67,97,48,28
7136,Irapuato,D-06,GTO,3453,2458,4140,4099,4048,5512.115,4762,3487,4526,2370
7137,Metepec,D-01,MEX,3260,2986,3394,3016,3972,4768,4992,4084,3694,1947
7138,Pachuca,D-01,HGO,6049,5844,7385,7147,7555,6249,6132,4651,5788,3845
7139,Ajusco (Exp),D-02,DF,,,,,0,,,,1,
7140,Viveros (Exp),D-04,DF,71,44,43,44,20,,,,,1
7141,B. Quintana (Exp),D-05,QRO,1,,,,,,,1,,
7142,Culiacan,D-11,SIN,1994,1685,2002,2341,2686,1517,1925,2209,2256,1453
7143,Averanda,D-04,MOR,5727,4996,4554,4179,5279,5891,5412,5919,4484,2734
7144,La Victoria,D-05,QRO,5948,4954,6111,5093,6540,6465,6472,7473,7321,4492
7145,Tecamach. (Exp),D-03,MEX,1,,,,,,,,,
